,Date,Price,Open,High,Low,Vol.,Change %
328,2019-06-08,243.42,248.98,250.51,241.09,6.23M,-2.23%
327,2019-06-09,231.27,243.43,244.36,227.0,7.80M,-4.99%
326,2019-06-10,246.86,231.21,246.99,227.38,8.39M,6.74%
325,2019-06-11,244.41,246.85,247.77,237.6,6.92M,-0.99%
324,2019-06-12,261.54,244.38,261.67,242.57,7.89M,7.01%
323,2019-06-13,254.86,261.38,262.47,254.02,7.30M,-2.55%
322,2019-06-14,262.53,254.89,268.81,252.01,6.87M,3.01%
321,2019-06-15,267.75,262.53,271.61,260.92,6.52M,1.99%
320,2019-06-16,267.98,267.74,282.75,263.96,8.66M,0.09%
319,2019-06-17,273.0,268.0,274.14,266.96,7.41M,1.87%
318,2019-06-18,264.59,273.02,273.26,261.76,7.39M,-3.08%
317,2019-06-19,268.26,264.59,269.79,263.61,6.23M,1.39%
316,2019-06-20,271.43,268.26,273.18,264.83,7.04M,1.18%
315,2019-06-21,294.72,271.45,295.72,271.45,11.06M,8.58%
314,2019-06-22,310.38,294.69,314.0,292.09,10.69M,5.31%
313,2019-06-23,308.53,310.39,320.79,306.12,8.49M,-0.59%
312,2019-06-24,311.46,308.51,313.67,297.9,7.10M,0.95%
311,2019-06-25,317.65,311.47,318.49,307.75,8.51M,1.99%
310,2019-06-26,338.54,317.65,364.89,315.99,15.73M,6.58%
309,2019-06-27,297.55,338.54,345.83,279.82,16.13M,-12.11%
308,2019-06-28,310.56,297.73,312.7,295.3,9.93M,4.37%
307,2019-06-29,318.48,310.52,324.13,295.44,9.03M,2.55%
306,2019-06-30,292.21,318.26,323.21,290.78,9.82M,-8.25%
305,2019-07-01,294.83,292.23,303.0,280.35,9.57M,0.90%
304,2019-07-02,291.41,294.87,297.0,273.07,10.30M,-1.16%
303,2019-07-03,300.58,291.48,301.64,289.39,7.90M,3.14%
302,2019-07-04,283.43,300.51,301.56,281.18,7.26M,-5.70%
301,2019-07-05,287.15,283.36,293.61,281.92,7.80M,1.31%
300,2019-07-06,288.08,287.16,296.06,285.61,7.56M,0.32%
299,2019-07-07,304.88,288.11,309.42,285.28,8.43M,5.83%
298,2019-07-08,312.23,304.87,313.15,301.6,8.50M,2.41%
297,2019-07-09,307.41,312.23,317.94,303.38,9.13M,-1.54%
296,2019-07-10,289.1,307.44,313.81,281.53,12.44M,-5.96%
295,2019-07-11,268.72,289.13,289.14,263.08,11.36M,-7.05%
294,2019-07-12,274.68,268.72,278.33,266.81,7.95M,2.22%
293,2019-07-13,269.16,274.68,275.04,262.85,7.84M,-2.01%
292,2019-07-14,226.62,269.12,269.62,223.95,11.86M,-15.80%
291,2019-07-15,228.49,226.56,235.43,204.39,14.59M,0.82%
290,2019-07-16,198.87,228.49,234.41,193.48,14.52M,-12.96%
289,2019-07-17,210.95,198.88,219.13,192.91,13.51M,6.07%
288,2019-07-18,225.23,210.95,228.42,206.47,12.65M,6.77%
287,2019-07-19,220.09,225.23,225.68,213.57,9.38M,-2.28%
286,2019-07-20,227.86,220.11,233.7,219.8,9.12M,3.53%
285,2019-07-21,225.01,227.83,228.76,217.72,8.50M,-1.25%
284,2019-07-22,217.27,225.03,227.47,212.46,8.60M,-3.44%
283,2019-07-23,211.87,217.27,218.03,208.31,8.70M,-2.49%
282,2019-07-24,215.44,211.86,217.02,202.3,9.72M,1.69%
281,2019-07-25,217.65,215.45,224.05,214.79,8.42M,1.02%
280,2019-07-26,217.83,217.65,218.65,212.07,6.96M,0.09%
